Transition,output_matrix_t1,output_matrix_t2,output_matrix_t3,output_matrix_t4,output_matrix_t5,output_matrix_t6,output_matrix_t7,output_matrix_t8,output_matrix_t9,output_matrix_t10,output_matrix_t11,output_matrix_t12,output_matrix_t13,output_matrix_t14,output_matrix_t15,output_matrix_t16,output_matrix_t17,output_matrix_t18,output_matrix_t19,output_matrix_t20,output_matrix_t21,output_matrix_t22,output_matrix_t23,output_matrix_t24,output_matrix_t25,output_matrix_t26,output_matrix_t27,output_matrix_t28,output_matrix_t29,output_matrix_t30,output_matrix_t31,output_matrix_t32,output_matrix_t33,output_matrix_t34,output_matrix_t35,output_matrix_t36,output_matrix_t37,output_matrix_t38,output_matrix_t39,output_matrix_t40,output_matrix_t41,output_matrix_t42,output_matrix_t43,output_matrix_t44,output_matrix_t45,output_matrix_t46,output_matrix_t47,output_matrix_t48,output_matrix_t49,output_matrix_t50,output_matrix_t51,output_matrix_t52,output_matrix_t53,output_matrix_t54,output_matrix_t55,output_matrix_t56,output_matrix_t57,output_matrix_t58,output_matrix_t59,output_matrix_t60,output_matrix_t61,output_matrix_t62,output_matrix_t63,output_matrix_t64,output_matrix_t65,output_matrix_t66,output_matrix_t67,output_matrix_t68,output_matrix_t69,output_matrix_t70,output_matrix_t71,output_matrix_t72,output_matrix_t73,output_matrix_t74,output_matrix_t75,output_matrix_t76,output_matrix_t77,output_matrix_t78,output_matrix_t79,output_matrix_t80,output_matrix_t81,output_matrix_t82,output_matrix_t83,output_matrix_t84,output_matrix_t85,output_matrix_t86,output_matrix_t87,output_matrix_t88,output_matrix_t89,output_matrix_t90,output_matrix_t91,output_matrix_t92,output_matrix_t93,output_matrix_t94,output_matrix_t95,output_matrix_t96,output_matrix_t97,output_matrix_t98,output_matrix_t99,output_matrix_t100
IB to S1P,0.10987514218489,0.107968599436836,0.106082461095241,0.104217010838664,0.102372508979618,0.10054919294709,0.0987472777891223,0.0969669566933874,0.0952084015236702,0.0934717633702838,0.0917571731124817,0.0900647419910061,0.0883945621889793,0.086746707419422,0.085121233517752,0.0835181790376993,0.0819375658491475,0.0803793997364911,0.0788436709961784,0.0773303550321845,0.0758394129482432,0.0743707921357365,0.0729244268562237,0.0715002388176606,0.0700981377434393,0.0687180219334429,0.0673597788163873,0.0660232854927816,0.0647084092679108,0.0634150081743016,0.0621429314831973,0.060892020204621,0.0596621075756657,0.0584530195367003,0.0572645751952296,0.0560965872771971,0.0549488625655616,0.0538212023260206,0.0527134027197954,0.0516252552034281,0.0505565469155755,0.0495070610508186,0.0484765772205343,0.0474648718009056,0.0464717182681701,0.045496887521233,0.0445401481917875,0.0436012669421096,0.0426800087507087,0.0417761371860336,0.0408894146684437,0.0400196027206728,0.0391664622070188,0.038329753561506,0.0375092370052717,0.0367046727534382,0.0359158212117344,0.0351424431631383,0.0343842999448127,0.0336411536156106,0.0329127671144274,0.0321989044096778,0.0314993306401762,0.0308138122476973,0.030142117101492,0.0294840146150347,0.0288392758552703,0.0282076736446316,0.0275889826560909,0.0269829795015058,0.0263894428135176,0.0258081533212531,0.0252388939200774,0.0246814497356399,0.0241356081824512,0.0236011590172213,0.0230778943871857,0.0225656088736406,0.0220640995308999,0.0215731659208845,0.0210926101435465,0.0206222368633242,0.0201618533318205,0.0197112694068892,0.0192702975683084,0.0188387529302151,0.0184164532504687,0.0180032189371045,0.017598873052036,0.0172032413121533,0.0168161520879672,0.0164374363999351,0.0160669279126066,0.0157044629267165,0.0153498803693505,0.0150030217823031,0.0146637313087425,0.0143318556782931,0.0140072441906395,0.0136897486977559
S1P to BcD,0.105870922837858,0.104292694604075,0.102733164140824,0.101192262624881,0.0996699162355095,0.0981660463331758,0.0966805696365915,0.0952133983979464,0.0937644405761932,0.0923336000082554,0.0909207765780394,0.0895258663831408,0.0881487618991419,0.0867893521414057,0.0854475228242809,0.084123156517638,0.0828161328006666,0.0815263284128676,0.0802536174021852,0.0789978712702266,0.0777589591145267,0.0765367477678186,0.0753311019342791,0.0741418843227238,0.0729689557767284,0.0718121754016652,0.0706714006886401,0.0695464876353285,0.0684372908637062,0.067343663734681,0.0662654584596301,0.0652025262088575,0.0641547172169839,0.0631218808852887,0.0621038658810256,0.0611005202337369,0.0601116914285923,0.0591372264967853,0.0581769721030159,0.0572307746300986,0.0562984802607283,0.0553799350564465,0.0544749850338466,0.0535834762380595,0.052705254813566,0.051840167072377,0.0509880595596309,0.0501487791166531,0.0493221729415258,0.0485080886472178,0.0477063743173221,0.046916878559452,0.0461394505563457,0.04537394011473,0.0446201977119939,0.043878074540723,0.0431474225511458,0.042428094491543,0.0417199439466698,0.0410228253742438,0.0403365941395469,0.0396611065481932,0.0389962198771111,0.038341792403791,0.0376976834338457,0.037063753326933,0.0364398635210893,0.0358258765555195,0.0352216560918919,0.0346270669341838,0.0340419750471225,0.0334662475732674,0.0328997528487772,0.0323423604179052,0.031793941046265,0.0312543667329096,0.0307235107212634,0.0302012475089488,0.0296874528565453,0.0291820037953211,0.0286847786339742,0.0281956569644198,0.0277145196666609,0.0272412489127768,0.0267757281700634,0.0263178422033608,0.0258674770765987,0.0254245201535932,0.0249888600981259,0.0245603868733346,0.0241389917404464,0.023724567256882,0.0233170072737578,0.022916206932814,0.0225220626627954,0.02213447217531,0.0217533344601896,0.0213785497803789,0.021010019666373,0.0206476469102301
IB to DF,0.0875343337002436,0.0867904913692094,0.0860426871851667,0.0852912914294496,0.0845366676103188,0.0837791722599545,0.0830191547511025,0.0822569571329106,0.0814929139854596,0.0807273522924568,0.0799605913315385,0.0791929425816003,0.0784247096465552,0.0776561881949043,0.0768876659144902,0.0761194224817953,0.0753517295451372,0.0745848507211147,0.0738190416036497,0.0730545497849781,0.0722916148879422,0.071530468608943,0.0707713347709207,0.0700144293857373,0.0692599607253502,0.0685081294011738,0.0677591284510434,0.0670131434332072,0.0662703525267901,0.0655309266381893,0.0647950295128759,0.0640628178521005,0.0633344414340111,0.0626100432387183,0.0618897595768549,0.0611737202212006,0.0604620485409583,0.0597548616382909,0.0590522704867418,0.0583543800711866,0.057661289528977,0.0569730922919606,0.0562898762290731,0.0556117237892236,0.0549387121442043,0.0542709133313774,0.0536083943959062,0.0529512175323131,0.0522994402251637,0.0516531153886906,0.0510122915051831,0.0503770127619862,0.0497473191869615,0.0491232467822791,0.0485048276564179,0.0478920901542668,0.0472850589852276,0.0466837553492328,0.0460881970605997,0.0454983986696538,0.0449143715820606,0.0443361241758167,0.0437636619158559,0.0431969874662358,0.0426361007998761,0.0420809993058267,0.0415316778940507,0.0409881290977116,0.040450343172961,0.0399183081962265,0.0393920101590062,0.0388714330601775,0.0383565589958354,0.0378473682466757,0.0373438393629446,0.0368459492469776,0.0363536732333533,0.0358669851666917,0.0353858574771275,0.0349102612534908,0.0344401663142303,0.0339755412761159,0.0335163536207572,0.0330625697589779,0.0326141550930855,0.0321710740770772,0.031733290274824,0.0313007664162753,0.0308734644517256,0.0304513456041877,0.0300343704199153,0.0296224988171177,0.0292156901329113,0.0288139031685498,0.0284170962329779,0.028025227184751,0.0276382534723626,0.0272561321730236,0.0268788200299353,0.0265062734880956
IB to Nat,0.0673482580709852,0.065535376349598,0.0637636735238059,0.0620325691020363,0.0603414740944676,0.0586897919540661,0.0570769194924025,0.0555022477692772,0.05396516295532,0.052465047166853,0.0510012792724313,0.0495732356705911,0.04818029103845,0.0468218190509077,0.0454971930702988,0.0442057868064448,0.04294697494714,0.0417201337591911,0.0405246416602099,0.0393598797614268,0.0382252323818637,0.0371200875342628,0.0360438373832256,0.0349958786760657,0.0339756131469236,0.0329824478947345,0.0320157957356733,0.0310750755307318,0.0301597124891136,0.0292691384481483,0.028402792130452,0.0275601193790715,0.0267405733713619,0.0259436148123576,0.0251687121083988,0.0244153415217796,0.0236829873071837,0.0229711418306701,0.0222793056719659,0.0216069877108181,0.020953705198145,0.0203189838127189,0.0197023577040999,0.0191033695225257,0.0185215704364493,0.0179565201384,0.0174077868398277,0.0168749472555715,0.0163575865785773,0.0158552984454705,0.0153676848935705,0.0148943563099142,0.0144349313728384,0.0139890369866494,0.0135563082098891,0.0131363881776878,0.0127289280186753,0.0123335867669,0.0119500312691887,0.0115779360883619,0.0112169834026966,0.0108668629020159,0.0105272716807621,0.010197914128395,0.0098785018174397,0.00956875338949089,0.00926839443946429,0.00897715739837137,0.00869478141487678,0.00842101223588375,0.00815560208637848,0.00789830954875042,0.00764889944179224,0.00740714269957009,0.00717281625034292,0.0069457028956974,0.00672559119005344,0.00651227532068494,0.00630555498838946,0.00610523528893077,0.00591112659536851,0.00572304444138049,0.00554080940567395,0.00536424699757435,0.00519318754387217,0.00502746607700074,0.00486692222461139,0.004711400100605,0.00456074819767324,0.00441481928139652,0.00427347028594002,0.00413656221138418,0.00400396002272049,0.00387553255053933,0.00375115239343157,0.00363069582212225,0.00351404268534982,0.00340107631750179,0.00329168344801355,0.00318575411253424
DF to BcD,0.118159415806222,0.116732149092496,0.115309528462432,0.113891942180255,0.112479768047377,0.111073373266309,0.109673114323863,0.108279336893274,0.106892375754821,0.105512554734527,0.104140186660421,0.102775573335894,0.101419005529596,0.100070762981319,0.0987311144233098,0.0974003176163935,0.0960786194003285,0.0947662557577583,0.0934634518911405,0.0921704223120187,0.0908873709419998,0.0896144912247971,0.0883519662487011,0.08709996887884,0.0858586618985986,0.0846281981595671,0.0834087207394025,0.0822003631069923,0.0810032492943198,0.0798174940744458,0.0786432031450304,0.0774804733168362,0.0763293927066668,0.0751900409342115,0.0740624893222846,0.0729468010999618,0.0718430316081391,0.0707512285070516,0.0696714319853136,0.0686036749700568,0.0675479833377634,0.0665043761254101,0.065472865741557,0.0644534581770353,0.0634461532149069,0.0624509446393858,0.0614678204434306,0.0604967630347366,0.0595377494398721,0.0585907515063216,0.057655736102215,0.0567326653135403,0.0558214966386512,0.0549221831798981,0.0540346738322249,0.0531589134685908,0.0522948431220877,0.0514424001646396,0.0506015184821822,0.0497721286462336,0.0489541580817796,0.0481475312314079,0.0473521697156355,0.0465679924893866,0.0457949159945851,0.0450328543088359,0.0442817192901802,0.0435414207179144,0.0428118664294727,0.04209296245338,0.0413846131382882,0.0406867212781153,0.0399991882333136,0.0393219140482958,0.038654797565058,0.0379977365330371,0.0373506277152493,0.0367133669907574,0.036085849453519,0.0354679695076718,0.0348596209593125,0.0342606971048317,0.0336710908158662,0.0330906946209348,0.0325194007838233,0.0319571013787873,0.0314036883626415,0.0308590536438066,0.0303230891483838,0.0297956868833294,0.0292767389968017,0.0287661378357508,0.0282637760008269,0.0277695463986757,0.027283342291696,0.0268050573453301,0.0263345856729578,0.0258718218784668,0.0254166610965669,0.02496899903092
DF to S1P,0.167107429767944,0.163949092774235,0.160832882312979,0.157758860299795,0.154727064277118,0.151737507934787,0.148790181651095,0.145885053052568,0.143022067590727,0.140201149134112,0.137422200573882,0.134685104441325,0.131989723535636,0.12933590156038,0.126723463767074,0.124152217604385,0.121621953371483,0.119132444874123,0.116683450082106,0.114274711786814,0.111905958257551,0.10957690389552,0.107287249884276,0.105036684835603,0.10282488542977,0.100651517049236,0.0985162344048883,0.0964186821539817,0.0943584955089985,0.0923353008367104,0.0903487162467764,0.0883983521692704,0.0864838119205871,0.0846046922572272,0.0827605839170186,0.0809510721473762,0.0791757372202581,0.077434154933518,0.0757258970984044,0.0740505320129962,0.0724076249214113,0.0707967384586607,0.0692174330810613,0.0676692674821558,0.0661517989941239,0.0646645839746977,0.0632071781796293,0.0617791371207841,0.0603800164099598,0.0590093720885579,0.0576667609432549,0.0563517408078446,0.0550638708514386,0.053802711853233,0.0525678264640645,0.0513587794549931,0.0501751379531614,0.0490164716651949,0.0478823530884133,0.0467723577101367,0.0456860641953741,0.0446230545631913,0.0435829143520586,0.0425652327744829,0.0415696028612352,0.0405956215954813,0.0396428900371308,0.0387110134377154,0.0377996013461104,0.0369082677054106,0.0360366309412716,0.0351843140420234,0.0343509446308627,0.0335361550304255,0.0327395823200375,0.0319608683859379,0.0311996599647645,0.0304556086805856,0.0297283710757573,0.0290176086358805,0.0283229878091252,0.0276441800201849,0.0269808616791151,0.0263327141853081,0.0256994239268455,0.0250806822754653,0.0244761855773744,0.0238856351401294,0.0233087372158029,0.0227452029806452,0.022194748511445,0.0216570947587862,0.0211319675173911,0.020619097393733,0.0201182197710969,0.0196290747722577,0.0191514072199414,0.0186849665952277,0.0182295069940453,0.017784787081907
Nat to BcD,0.0419854519548048,0.041259990009436,0.0405456855326226,0.0398424166280487,0.039150060885843,0.0384684954676053,0.037797597188546,0.0371372425967719,0.036487308049756,0.0358476697880297,0.0352182040061378,0.0345987869209012,0.0339892948370296,0.033389604210133,0.0327995917071778,0.0322191342644382,0.0316481091429906,0.0310863939818054,0.0305338668484844,0.0299904062876991,0.0294558913673804,0.0289302017227153,0.0284132175980021,0.0279048198864198,0.027404890167763,0.0269133107441993,0.0264299646741,0.0259547358039985,0.0254875087987303,0.0250281691698065,0.0245766033020732,0.0241326984787088,0.023696342904611,0.0232674257282234,0.0228458370618524,0.0224314680005231,0.0220242106394241,0.0216239580899874,0.021230604494652,0.0208440450403566,0.0204641759708075,0.020090894597565,0.0197240993099939,0.0193636895841188,0.0190095659904281,0.0186616302006655,0.0183197849936508,0.0179839342601683,0.0176539830069609,0.0173298373598667,0.0170114045661355,0.0166985929959596,0.0163913121432527,0.0160894726257124,0.015792986184196,0.0155017656814438,0.0152157251001787,0.0149347795406129,0.0146588452173899,0.0143878394559907,0.0141216806886304,0.0138602884496718,0.0136035833705819,0.0133514871744551,0.0131039226701275,0.0128608137459058,0.0126220853629311,0.0123876635482013,0.012157475387272,0.0119314490166551,0.0117095136159356,0.0114915993996243,0.0112776376087648,0.0110675605023119,0.0108613013482974,0.0106587944148007,0.0104599749607376,0.0102647792264833,0.010073144424344,0.00988500872888885,0.00970031126715794,0.00951899210875612,0.00934099225584653,0.00916625363305433,0.00899471907729198,0.00882633232751618,0.00866103801442699,0.00849878165011812,0.00833950961768804,0.00818316916082023,0.00802970837334111,0.0078790761887635,0.00773122236982304,0.00758609749801494,0.00744365296313762,0.00730384095284998,0.00716661444224817,0.0070319271834679,0.00689973369531764,0.00676998925294805
Nat to S1P,0.0454525037683251,0.0445484022819091,0.043660800835722,0.0427894552485256,0.0419341227514383,0.0410945620743691,0.040270533527926,0.0394617990809089,0.0386681224334918,0.0378892690862068,0.0371250064048368,0.0363751036813292,0.0356393321908408,0.0349174652450235,0.0342092782416629,0.0335145487107776,0.032833056357291,0.0321645831003827,0.0315089131096274,0.0308658328380292,0.0302351310520558,0.0296165988587769,0.0290100297302111,0.0284152195249816,0.0278319665073799,0.0272600713639386,0.0266993372176056,0.0261495696396189,0.025610576659171,0.0250821687709562,0.0245641589406894,0.024056362608682,0.0235585976915626,0.0230706845822224,0.0225924461480688,0.0221237077276643,0.0216642971258292,0.0212140446072809,0.0207727828888842,0.020340347130582,0.0199165749250757,0.0195013062863218,0.0190943836369088,0.0186956517943767,0.0183049579565409,0.0179221516858772,0.0175470848930264,0.0171796118194716,0.0168195890194419,0.0164668753410936,0.0161213319070177,0.0157828220941208,0.0154512115129262,0.0151263679863375,0.0148081615279091,0.0144964643196612,0.0141911506894821,0.0138920970881519,0.0135991820660256,0.013312286249409,0.0130312923166613,0.0127560849740554,0.0124865509314258,0.0122225788776341,0.0119640594558787,0.0117108852388759,0.0114629507039364,0.0112201522079626,0.0109823879623881,0.0107495580080824,0.0105215641902399,0.0102983101332751,0.0100797012157395,0.0098656445452808,0.0096560489336591,0.00945082487183684,0.00924988450515686,0.00905314160862313,0.00886051156229691,0.00867191132682124,0.00848725941908514,0.00830647588803881,0.00812948229066979,0.00795620166815017,0.00778655852216333,0.007620478791419,0.00745788982836422,0.00729872037609745,0.00714290054549248,0.0069903617925384,0.00684103689590117,0.00669485993471197,0.00655176626658716,0.00641169250588402,0.00627457650219614,0.00614035731909209,0.00600897521310018,0.00588037161294238,0.00575448909901939,0.00563127138314938
S1P to DF,0.0441379508398426,0.0433039982430162,0.042483805562221,0.0416772154321832,0.040884069842249,0.0401042102401821,0.0393374776330789,0.0385837126853932,0.0378427558140621,0.0371144472807349,0.0363986272811065,0.0356951360313648,0.0350038138517631,0.034324501247334,0.0336570389857637,0.0330012681724491,0.032357030322765,0.0317241674315686,0.0311025220399741,0.0304919372994318,0.0298922570331465,0.029303325794877,0.0287249889251547,0.0281570926049657,0.0275994839069395,0.0270520108440914,0.026514522416165,0.0259868686536224,0.0254689006593335,0.0249604706480123,0.0244614319834535,0.0239716392136187,0.0234909481036267,0.023019215666699,0.0225563001931136,0.0221020612772204,0.0216563598425719,0.0212190581652203,0.0207900198952367,0.0203691100765034,0.0199561951648317,0.0195511430444593,0.0191538230429769,0.0187641059447368,0.0183818640027938,0.0180069709494291,0.0176393020053056,0.0172787338873054,0.0169251448150963,0.0165784145164755,0.0162384242315365,0.0159050567157065,0.0155781962416972,0.0152577286004156,0.0149435411008763,0.0146355225691581,0.0143335633464472,0.0140375552862063,0.0137473917505101,0.0134629676055855,0.0131841792165942,0.0129109244416945,0.0126431026254181,0.0123806145913964,0.0121233626344708,0.0118712505122189,0.0116241834359301,0.0113820680610596,0.0111448124771926,0.0109123261975472,0.0106845201480439,0.0104613066559692,0.0102425994382607,0.0100283135894377,0.00981836556920283,0.00961267318973857,0.00941115560272156,0.00921373328607672,0.00902032803049272,0.00883086292571923,0.00864526234666589,0.008463451939322,0.00828535860651506,0.00811091049352597,0.00794003697357762,0.00777266863321296,0.00760873725757827,0.00744817581562623,0.00729091844525308,0.00713690043838354,0.00698605822601623,0.00683832936324217,0.00669365251424813,0.00655196743731593,0.00641321496982859,0.00627733701329347,0.00614427651839191,0.00601397747006493,0.0058863848726432,0.0057614447350301
